"stock_id", "Title", "barcode", "category", "price"
"buckle-celtic-msg","Belt Buckle Celtic Hidden Message","*BUCKLE-CELTIC-MSG*","Belts","0","0",
"U-BB-CK","Belt Buckle Celtic Knot","*U-BB-CK*","Belts","0","0",
"U-BB-CK","Belt Buckle Celtic Knot","*U-BB-CK*","Belts","0","0",
"U-BB-CK","Belt Buckle Celtic Knot","*U-BB-CK*","Belts","0","0",
"buckle-celtic","Belt Buckle Celtic pattern","*BUCKLE-CELTIC*","Belts","0","0",
"buckle-celtic","Belt Buckle Celtic pattern","*BUCKLE-CELTIC*","Belts","0","0",
"buckle-celtic_square","Belt Buckle Celtic Square pattern","*KLE-CELTIC_SQUARE*","Belts","0","1",
"buckle-celtic_swirl","Belt Buckle Celtic Swirl pattern","*CKLE-CELTIC_SWIRL*","Belts","0","1",
"buckle-celtic_swirl","Belt Buckle Celtic Swirl pattern","*CKLE-CELTIC_SWIRL*","Belts","0","1",
"buckle-GoldenThistle","Belt Buckle Golden Thistle","*KLE-GOLDENTHISTLE*","Belts","0","1",
"U-BB-HS","Belt Buckle Highland Swirl","*U-BB-HS*","Belts","0","0",
"U-BB-HS","Belt Buckle Highland Swirl","*U-BB-HS*","Belts","0","0",
"buckle-lion-black","Belt Buckle Lion Rampert Black","*BUCKLE-LION-BLACK*","Belts","0","0",
"U-KB-30","Kilt Belt 30&quot;","*U-KB-30*","Belts","0","0",
"U-KB-30","Kilt Belt 30&quot;","*U-KB-30*","Belts","0","0",
"U-KB-30","Kilt Belt 30&quot;","*U-KB-30*","Belts","0","0",
"U-KB-30-w","Kilt Belt 30&quot; 2.5W","*U-KB-30-W*","Belts","0","0",
"U-KB-30-w","Kilt Belt 30&quot; 2.5W","*U-KB-30-W*","Belts","0","0",
"U-KB-34","Kilt Belt 34&quot;","*U-KB-34*","Belts","0","0",
"U-KB-34","Kilt Belt 34&quot;","*U-KB-34*","Belts","0","0",
"U-KB-34","Kilt Belt 34&quot;","*U-KB-34*","Belts","0","0",
"U-KB-36","Kilt Belt 36&quot;","*U-KB-36*","Belts","0","0",
"U-KB-36","Kilt Belt 36&quot;","*U-KB-36*","Belts","0","0",
"U-KB-36w","Kilt Belt 36&quot; 2.5W","*U-KB-36W*","Belts","0","0",
"U-KB-36w","Kilt Belt 36&quot; 2.5W","*U-KB-36W*","Belts","0","0",
"U-KB-38","Kilt Belt 38&quot;","*U-KB-38*","Belts","0","0",
"U-KB-40","Kilt Belt 40&quot;","*U-KB-40*","Belts","0","0",
"U-KB-40","Kilt Belt 40&quot;","*U-KB-40*","Belts","0","0",
"U-KB-40","Kilt Belt 40&quot;","*U-KB-40*","Belts","0","0",
"U-KB-42","Kilt Belt 42&quot;","*U-KB-42*","Belts","0","0",
"U-KB-46","Kilt Belt 46&quot;","*U-KB-46*","Belts","0","0",
"U-KB-46W","Kilt Belt 46&quot; 2.5W","*U-KB-46W*","Belts","0","0",
"U-KB-50","Kilt Belt 50&quot;","*U-KB-50*","Belts","0","0",
"10AWAL-1900-418-BR","18&quot; Bodhran Brown","*0AWAL-1900-418-BR*","Bodhran","0","1",
"10AWAL-1930","18&quot; Bodhran Celtic Cross","*10AWAL-1930*","Bodhran","0","0",
"10AWAL-2505","8&quot; Bodhran Brosna Cross","*10AWAL-2505*","Bodhran","0","0",
"10AWAL-2508","8&quot; Bodhran Carew Cross","*10AWAL-2508*","Bodhran","0","0",
"10AWAL-2508","8&quot; Bodhran Carew Cross","*10AWAL-2508*","Bodhran","0","0",
"10AWAL-2508","8&quot; Bodhran Carew Cross","*10AWAL-2508*","Bodhran","0","0",
"D-B-CREAM","Bodhran Cream","*D-B-CREAM*","Bodhran","0","0",
"d-bodhran-beater","Bodhran Tipper (Beater)","*D-BODHRAN-BEATER*","Bodhran","0","0",
"d-bodhran-beater","Bodhran Tipper (Beater)","*D-BODHRAN-BEATER*","Bodhran","0","0",
"d-bodhran-beater","Bodhran Tipper (Beater)","*D-BODHRAN-BEATER*","Bodhran","0","0",
"Brooch-Dancer-1","Brooch - Dancer","*BROOCH-DANCER-1*","Brooch (jewelry)","0","0",
"Brooch-Knot-Ulbster","Brooch - Knot-Ulbster","*OOCH-KNOT-ULBSTER*","Brooch (jewelry)","0","1",
"Brooch-Knot-Ulbster","Brooch - Knot-Ulbster","*OOCH-KNOT-ULBSTER*","Brooch (jewelry)","0","1",
"Brooch-Brighid-Goddess","Brooch ? Brighid-Goddess","*H-BRIGHID-GODDESS*","Brooch (jewelry)","0","1",
"Brooch-Brighid-Goddess","Brooch ? Brighid-Goddess","*H-BRIGHID-GODDESS*","Brooch (jewelry)","0","1",
"Brooch-Cross-Highland","Brooch ? Cross-Highland","*CH-CROSS-HIGHLAND*","Brooch (jewelry)","0","1",
"Brooch-Cross-Highland","Brooch ? Cross-Highland","*CH-CROSS-HIGHLAND*","Brooch (jewelry)","0","1",
"brooch-Cross-Trinity","brooch ? Cross-Trinity","*OCH-CROSS-TRINITY*","Brooch (jewelry)","0","1",
"Brooch-Dancer-Irish","Brooch ? Dancer-Irish","*OOCH-DANCER-IRISH*","Brooch (jewelry)","0","1",
"Brooch-Dancer-Pair","Brooch ? Dancer-Pair","*ROOCH-DANCER-PAIR*","Brooch (jewelry)","0","1",
"Brooch-Drummer","Brooch ? Drummer","*BROOCH-DRUMMER*","Brooch (jewelry)","0","0",
"Brooch-Piper-1","Brooch ? Piper","*BROOCH-PIPER-1*","Brooch (jewelry)","0","0",
"Brooch-Piper-1","Brooch ? Piper","*BROOCH-PIPER-1*","Brooch (jewelry)","0","0",
"Brooch-Piper-Comical","Brooch ? Piper - Comical","*OCH-PIPER-COMICAL*","Brooch (jewelry)","0","1",
"Brooch-Piper-Comical","Brooch ? Piper - Comical","*OCH-PIPER-COMICAL*","Brooch (jewelry)","0","1",
"Brooch-Piper-Standing","Brooch ? Piper - Standing","*CH-PIPER-STANDING*","Brooch (jewelry)","0","1",
"Brooch-Piper-Standing","Brooch ? Piper - Standing","*CH-PIPER-STANDING*","Brooch (jewelry)","0","1",
"Brooch-TrebleClef","Brooch ? Treble Clef","*BROOCH-TREBLECLEF*","Brooch (jewelry)","0","0",
"bs-Anything","Anything Can Happen in the Kilt","*BS-ANYTHING*","Bumper Sticker","0","0",
"bs-Anything","Anything Can Happen in the Kilt","*BS-ANYTHING*","Bumper Sticker","0","0",
"bs-Anything","Anything Can Happen in the Kilt","*BS-ANYTHING*","Bumper Sticker","0","0",
"bs-bagpipesspoken","Bagpipes Spoken Here","*BS-BAGPIPESSPOKEN*","Bumper Sticker","0","0",
"bs-bagpipesspoken","Bagpipes Spoken Here","*BS-BAGPIPESSPOKEN*","Bumper Sticker","0","0",
"bs-blowit","Blow it our Your Bagpipes","*BS-BLOWIT*","Bumper Sticker","0","0",
